COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
WAS Vanceboro 74 27 43 1 0
WAS Waite 38 10 25 3 0
WAS Wesley 64 23 34 4 0
WAS Whiting 319 161 131 19 0
WAS Whitneyville 91 39 40 9 0
YOR Acton 1237 445 685 78 0
YOR Alfred 1566 719 707 108 0
YOR Arundel 2071 894 1007 125 0
YOR Berwick 3105 1294 1516 185 0
YOR Biddeford 8260 4559 3010 483 1
YOR Buxton 4136 1580 2334 172 0
YOR Cornish 730 309 376 33 0
YOR Dayton 1033 347 603 63 0
YOR Eliot 3738 2044 1398 195 0
YOR Hollis 2278 812 1311 110 0
YOR Kennebunk 6650 3792 2423 308 0
YOR Kennebunkport 2277 1261 871 98 0
YOR Kittery 4982 3163 1381 271 0
YOR Lebanon 2361 782 1369 147 0
YOR Limerick 1358 546 691 100 0
YOR Limington 1665 561 988 85 0
YOR Lyman 2172 876 1117 137 0
YOR Newfield 737 267 401 54 0
YOR "North Berwick" 2330 981 1147 137 0
YOR Ogunquit 859 539 272 35 0
YOR "Old Orchard Beach" 4758 2603 1769 285 1
YOR Parsonsfield 806 326 423 48 0
YOR Saco 9278 5127 3492 492 1
YOR Sanford 7579 3374 3464 493 0
YOR Shapleigh 1272 451 722 82 0
YOR "South Berwick" 3391 1873 1237 189 1
YOR Waterboro 3138 1128 1738 210 0
YOR Wells 5959 2969 2546 334 0
YOR York 7859 4456 2729 437 0
STATE UOCAVA 2371 1978 277 74 0
