COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Colbert "12-1 Littleville School" 0 267 232 0
Colbert "13-1 Locust Shores Fire Station" 0 286 241 2
Colbert "14-1 Spring Valley Fire Dept." 0 171 96 1
Colbert "14-2 County Highway Dept." 0 180 228 0
Colbert "14-3 Listerhill Credit Union" 0 131 24 0
Colbert "15-1 Harris Store" 0 36 47 0
Colbert "16-1 Sheffield Board of Education" 0 210 114 0
Colbert "16-3 Sheffield Fire Station" 0 464 200 2
Colbert "16-4 Sheffield Michael Center" 0 421 15 0
Colbert "16-5 Sheffield Recreation Center" 0 448 347 1
Colbert "16-6 Sheffield Fire Station Mont. Ave" 0 126 56 0
Colbert "16-7 Sheffield Village School" 0 406 366 2
Colbert "17-1 Muscle Shoals-Howell" 0 428 404 1
Colbert "17-2 Muscle Shoals - Fire Station" 0 491 434 1
Colbert "17-3 Muscle Shoals - South Gate" 0 547 410 3
