COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 639 0 452 1336 39 12 0
Harris 640 0 1267 1419 65 21 0
Harris 641 0 1189 1519 48 19 0
Harris 642 0 390 1011 19 2 0
Harris 643 0 1552 1280 62 28 0
Harris 644 0 1560 1764 71 32 0
Harris 645 0 2393 1223 84 32 0
Harris 646 0 944 633 20 15 0
Harris 647 0 1546 1173 32 20 0
Harris 648 0 1035 1661 42 17 0
Harris 649 0 1885 911 48 27 0
Harris 650 0 1260 1895 46 24 0
Harris 651 0 1328 1351 61 30 0
Harris 652 0 1594 416 18 27 0
Harris 653 0 247 79 7 2 0
Harris 654 0 1806 1940 69 37 0
Harris 655 0 1523 1695 71 23 0
Harris 656 0 1306 122 17 24 0
Harris 657 0 741 381 26 14 0
Harris 658 0 837 1092 59 20 0
Harris 659 0 1363 2575 58 27 0
Harris 660 0 1952 350 29 19 0
Harris 661 0 1715 1509 57 33 0
Harris 662 0 737 2412 47 11 0
Harris 663 0 1139 844 45 16 0
Harris 664 0 1021 398 31 25 0
Harris 665 0 422 1597 36 13 0
Harris 666 0 0 0 0 0 0
Harris 667 0 551 1079 29 13 0
Harris 668 0 1376 1604 73 14 0
Harris 669 0 1073 1638 54 13 0
Harris 670 0 686 1943 39 10 0
Harris 671 0 1179 1083 53 23 0
Harris 672 0 997 1669 62 14 0
Harris 673 0 445 1665 44 9 0
Harris 674 0 1165 2302 66 19 0
Harris 675 0 0 0 0 0 0
Harris 676 0 1086 738 46 21 0
Harris 677 0 485 200 19 6 0
Harris 678 0 1311 175 24 9 0
Harris 679 0 911 1790 42 16 0
Harris 680 0 115 27 4 1 0
Harris 681 0 71 27 7 1 0
Harris 682 0 929 2278 68 16 0
Harris 683 0 103 52 0 2 0
Harris 684 0 1341 1754 57 20 0
Harris 685 0 57 63 1 0 0
Harris 686 0 71 28 2 1 0
Harris 687 0 866 1383 20 8 0
Harris 688 0 963 2535 65 13 0
Harris 689 0 889 763 27 14 0
Harris 690 0 993 2151 65 14 0
Harris 691 0 969 2457 53 21 0
Harris 692 0 713 1557 58 14 0
Harris 693 0 362 120 11 3 0
Harris 694 0 1097 651 32 20 0
Harris 695 0 405 654 30 12 0
Harris 696 0 512 767 28 13 0
Harris 697 0 1390 610 43 28 0
Harris 698 0 1616 358 40 27 0
Harris 699 0 744 1066 30 8 0
Harris 700 0 176 974 16 8 1
Harris 701 0 186 152 8 5 0
Harris 702 0 212 57 7 2 0
Harris 703 0 512 1032 18 11 0
Harris 704 0 541 1916 36 16 0
Harris 705 0 491 80 10 8 0
Harris 706 0 1264 775 31 24 0
Harris 707 0 262 338 14 5 0
Harris 708 0 168 109 10 6 0
Harris 709 0 1664 1717 58 23 1
Harris 710 0 1028 944 23 5 0
Harris 711 0 1914 1480 55 21 0
Harris 712 0 1820 1055 69 35 0
Harris 713 0 767 612 25 12 0
Harris 714 0 75 77 2 1 0
Harris 715 0 534 429 22 5 0
Harris 716 0 576 1258 41 12 0
Harris 717 0 1043 222 14 25 0
Harris 718 0 1574 2407 70 22 0
Harris 719 0 438 483 17 12 0
Harris 720 0 1568 2260 77 26 0
Harris 721 0 986 1240 54 8 0
Harris 722 0 2331 262 39 31 0
