COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Maricopa "0134 CORA" 0 68 48 0 0 0 0 0 0
Maricopa "0135 CORBELL" 0 81 111 0 0 0 2 0 0
Maricopa "0136 CORDES" 0 113 60 0 0 0 3 0 0
Maricopa "0137 CORDONIZ" 0 177 101 0 0 0 4 0 0
Maricopa "0138 CORDOVA" 0 67 48 0 0 0 2 0 0
Maricopa "0139 CORONA" 0 43 92 0 0 0 3 0 0
Maricopa "0140 CORONADO" 0 58 159 0 0 0 4 0 0
Maricopa "0141 CORRINE" 0 67 173 0 0 0 6 0 0
Maricopa "0142 CORTEZ" 0 80 64 0 0 0 3 0 0
Maricopa "0143 COTTON LANE" 0 110 245 0 0 0 6 0 0
Maricopa "0144 COTTONWOOD COUNTRY CLUB" 0 17 87 0 0 0 1 0 0
Maricopa "0145 COUNTRY GABLES" 0 27 78 0 0 0 3 0 0
Maricopa "0146 COUNTRY MEADOWS" 0 28 65 0 0 0 3 0 0
Maricopa "0147 COVINA" 0 59 168 0 0 0 5 0 0
