COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda SOV_CD15 0 0 0 0 0 0 0
Alameda SOV_CD17 0 0 0 0 0 0 0
Alameda SOV_SD00 0 0 0 0 0 0 0
Alameda SOV_SD07 0 0 0 0 0 0 0
Alameda SOV_SD09 0 0 0 0 0 0 0
Alameda SOV_SD10 0 0 0 0 0 0 0
Alpine 1 162 90 61 6 1 0 0
Alpine 2 155 102 46 5 2 0 0
Alpine 3 92 75 15 1 0 0 0
Alpine 4 159 123 33 1 0 0 2
Alpine 5 181 86 89 2 1 0 0
Alpine SOV_AD00 0 0 0 0 0 0 0
Alpine SOV_AD05 0 0 0 0 0 0 0
Alpine SOV_BE00 0 0 0 0 0 0 0
Alpine SOV_BE01 0 0 0 0 0 0 0
Alpine SOV_CD00 0 0 0 0 0 0 0
Alpine SOV_CD04 0 0 0 0 0 0 0
Alpine SOV_SD00 0 0 0 0 0 0 0
Alpine SOV_SD01 0 0 0 0 0 0 0
Amador CP01 1104 432 623 23 6 3 1
Amador CP02 909 369 495 18 4 4 4
Amador CP03 621 276 317 13 4 2 1
Amador CP04 997 318 640 18 6 1 1
Amador CP05 552 200 332 9 1 1 1
Amador CP06 1805 537 1190 35 9 5 5
Amador CP07 1062 300 722 16 3 5 1
Amador CP08 242 47 184 3 4 1 0
Amador CP09 377 86 279 8 0 1 0
Amador CP10 667 197 446 10 4 4 2
Amador CP11 152 95 54 2 0 1 0
Amador CP12 463 185 261 9 1 3 0
Amador CP13 753 248 479 12 4 1 1
Amador CP14 820 291 505 6 5 0 1
Amador CP15 1231 479 714 11 6 2 2
Amador CP16 762 307 432 5 3 2 2
Amador CP17 726 289 409 11 2 1 3
Amador CP18 935 435 458 13 6 1 1
Amador CP19 969 349 594 11 3 3 1
Amador CP20 675 254 391 7 3 4 2
Amador CP21 1000 363 592 21 8 3 2
Amador CP22 607 223 350 15 3 1 3
Amador CP23 1060 444 587 12 3 3 0
Amador CP25 657 263 359 13 5 1 2
Amador CP26 561 222 307 16 7 1 0
Amador CP27 563 227 317 3 2 1 1
Amador CP28 621 204 396 11 1 0 0
Amador CP29 510 175 317 2 4 2 0
Amador CP30 1168 302 821 15 3 7 4
Amador CP83 51 36 14 1 0 0 0
Amador SOV_AD00 0 0 0 0 0 0 0
Amador SOV_AD05 0 0 0 0 0 0 0
Amador SOV_BE00 0 0 0 0 0 0 0
Amador SOV_BE01 0 0 0 0 0 0 0
