COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Charlotte County" "201 - Red Oak Wylliesburg" 596 188 401 7 0
"Charlotte County" "302 - Drakes Branch" 444 150 291 3 0
"Charlotte County" "401 - Keysville" 596 207 384 5 0
"Charlotte County" "501 - Cullen/Red House" 493 191 296 2 4
"Charlotte County" "602 - Phenix" 651 193 455 3 0
"Charlotte County" "702 - Bacon/Saxe" 466 183 280 3 0
"Charlotte County" "Ab - Central Absentee Precinct" 201 93 106 1 1
"Charlotte County" Provisional 1 1 0 0 0
"Charlottesville City" "101 - Recreation" 2140 1803 308 27 2
"Charlottesville City" "102 - Clark" 2031 1736 265 27 3
"Charlottesville City" "201 - Carver" 1610 1444 142 20 4
"Charlottesville City" "202 - Walker" 2460 1969 474 17 0
"Charlottesville City" "301 - Benjamin Tonsler" 1583 1419 146 15 3
"Charlottesville City" "302 - Johnson" 2142 1763 351 27 1
"Charlottesville City" "303 - Buford" 959 828 115 15 1
"Charlottesville City" "401 - Venable" 800 706 91 3 0
"Charlottesville City" "402 - Alumni Hall" 1258 1007 240 10 1
"Charlottesville City" "Ab - Central Absentee Precinct" 1428 1234 180 11 3
"Charlottesville City" Provisional 37 34 3 0 0
"Chesapeake City" "1 - Great Bridge" 1212 454 744 13 1
"Chesapeake City" "2 - Bethel" 1120 262 845 13 0
"Chesapeake City" "3 - Camelot" 1580 1476 89 15 0
"Chesapeake City" "4 - Churchland" 991 366 621 4 0
"Chesapeake City" "5 - Crestwood" 1193 1079 97 16 1
"Chesapeake City" "6 - Deep Creek" 2116 1238 853 24 1
"Chesapeake City" "7 - Greenbrier" 1450 621 814 14 1
"Chesapeake City" "8 - South Norfolk Recreation" 1207 686 505 16 0
"Chesapeake City" "9 - Bells Mill" 2168 814 1332 21 1
"Chesapeake City" "10 - Oscar Smith" 543 278 255 10 0
"Chesapeake City" "11 - Geneva Park" 835 374 446 15 0
"Chesapeake City" "12 - Georgetown" 1156 1013 134 9 0
"Chesapeake City" "13 - Gilmerton" 1022 533 474 15 0
"Chesapeake City" "14 - Grassfield" 376 160 211 5 0
"Chesapeake City" "15 - B M Williams" 1025 660 354 10 1
"Chesapeake City" "16 - Hickory Grove" 1307 404 889 14 0
"Chesapeake City" "17 - Indian Creek" 882 261 609 12 0
"Chesapeake City" "18 - Indian River" 807 551 239 16 1
"Chesapeake City" "19 - Jolliff" 914 369 535 10 0
